"Gambar Produk","Link Produk","Nama Produk","Nama Toko","Harga","Omset Total","Penjualan Total","Omset 30 Hari","Penjualan 30 Hari","Rating"
"https://down-id.img.susercontent.com/file/https://cf.shopee.co.id/file/id-11134207-8224z-mi15nz9jekubbc_tn.webp","https://shopee.co.id/sticker-anti-gores-spidometer-uwinfly-d66b-i.40374674.47502825182","Sticker Anti Gores Spidometer Uwinfly D66B","Toko Ghazii","Rp 9.616","Rp 4.788.768","498","Rp 2.586.704","269","4.73"
"https://down-id.img.susercontent.com/file/https://cf.shopee.co.id/file/id-11134207-8224v-mhyji3upk8as56_tn.webp","https://shopee.co.id/sepeda-listrik-saige-latte-500w-sepeda-listrik-terbaru-i.518642845.56702692853","Sepeda Listrik SAIGE LATTE 500W Sepeda Listrik Terbaru","Zabeela Official Store","Rp 4.099.000","Rp 24.594.000","6","Rp 12.297.000","3","5.00"
"https://down-id.img.susercontent.com/file/https://cf.shopee.co.id/file/id-11134207-8224r-mgx7m8f9f2mh42_tn.webp","https://shopee.co.id/termurah-sepeda-listrik-exotic-stinger-35-power-500-watt-i.61934240.27743561563","Termurah! Sepeda Listrik Exotic Stinger 3.5 - Power 500 Watt","EOS E-BIKE","Rp 1.009.000","Rp 7.063.000","7","Rp 1.009.000","1","5.00"
"https://down-id.img.susercontent.com/file/https://cf.shopee.co.id/file/id-11134207-8224o-mjdq16zpjzlyd7_tn.webp","https://shopee.co.id/promo-diskon-zeus-mini-bike-elektrik-manual-terapi-stroke-i.410075210.20985749547","PROMO Diskon Zeus Mini Bike Elektrik Manual Terapi Stroke","Grandpa","Rp 799.000","Rp 799.000.000","1.000","Rp 31.161.000","39","4.91"
"https://down-id.img.susercontent.com/file/https://cf.shopee.co.id/file/id-11134207-8224s-mh8s89zk20p637_tn.webp","https://shopee.co.id/sticker-anti-gores-spidometer-uwinfly-d66a-i.40374674.56001713330","Sticker Anti Gores Spidometer Uwinfly D66A","Toko Ghazii","Rp 10.435","Rp 9.871.510","946","Rp 1.940.910","186","4.72"
"https://down-id.img.susercontent.com/file/https://cf.shopee.co.id/file/id-11134207-7r991-lyel6wub3c2w1a_tn.webp","https://shopee.co.id/boncengan-sepeda-listrik-anak-aman-nyaman-i.176257502.16072462471","Boncengan Sepeda Listrik Anak Aman Nyaman","civenpas","Rp 99.680","Rp 498.400.000","5.000","Rp 5.183.360","52","4.47"
"https://down-id.img.susercontent.com/file/https://cf.shopee.co.id/file/id-11134207-7ra0o-mdegzrvny3zoa1_tn.webp","https://shopee.co.id/karpet-sepeda-motor-listrik-uwinfly-d60-d70-d65-d75-alas-kaki-pijakan-kaki-i.884935909.29159007232","Karpet Sepeda motor Listrik UwinFly D60 D70 D65 D75, Alas Kaki, Pijakan Kaki","FFY MOTOR","Rp 30.000","Rp 120.000.000","4.000","Rp 2.430.000","81","4.81"
"https://down-id.img.susercontent.com/file/https://cf.shopee.co.id/file/id-11134207-81ztq-mee29xoacpvked_tn.webp","https://shopee.co.id/voxa-sepeda-listrik-liberty-icon-motor-350watt-dewasa-anak-murah-terbaru-i.31620766.42718034964","VOXA sepeda listrik LIBERTY ICON motor 350WATT Dewasa anak murah terbaru","VOXA Official Shop","Rp 3.000.000","Rp 45.000.000","15","Rp 6.000.000","2","4.80"
"https://down-id.img.susercontent.com/file/https://cf.shopee.co.id/file/id-11134207-7r992-lzzvawd3pp0e23_tn.webp","https://shopee.co.id/sunra-m3-sepeda-listrik-48v-26ah-sepeda-listrik-dengan-pedal-i.1342963915.27710810609","SUNRA M3 Sepeda Listrik 48V 26Ah sepeda listrik Dengan Pedal","SUNRA Official Store","Rp 6.299.000","Rp 12.598.000","2","Rp 6.299.000","1","5.00"
"https://down-id.img.susercontent.com/file/https://cf.shopee.co.id/file/id-11134207-7rbk1-m8fsa1y8aq0of9_tn.webp","https://shopee.co.id/voxa-sepeda-listrik-elite-fantasy-terbaru-motor-600-watt-murah-dewasa-i.31620766.29255971811","VOXA Sepeda Listrik Elite Fantasy Terbaru motor 600 watt  Murah Dewasa","VOXA Official Shop","Rp 5.200.000","Rp 265.200.000","51","Rp 5.200.000","1","4.81"
