Gambar Produk,Link Produk,Nama Produk,Nama Toko,Harga,Omset Total,Penjualan Total,Omset 30 Hari,Penjualan 30 Hari,Rating
https://down-id.img.susercontent.com/file/https://cf.shopee.co.id/file/d5b09d124d1b356d730b3eeb10e5b526_tn.webp,https://shopee.co.id/genio-vesta-10-20-folding-bike-gratis-tas-i.39600139.20332377244,"Genio Vesta 1.0 20"" Folding Bike Gratis Tas",Aping Bike,Rp 2.050.000,Rp 305.450.000,149.0,Rp 2.050.000,1,4.92
https://down-id.img.susercontent.com/file/https://cf.shopee.co.id/file/sg-11134201-7ra28-m4kmesv0qlis3d_tn.webp,https://shopee.co.id/azko-fingard-sepeda-lipat-trent-7sp-foldable-folding-bike-perlengkapan-olahraga-sepeda-compact-i.229515338.28168609036,AZKO Fingard Sepeda Lipat Trent 7Sp Foldable Folding Bike Perlengkapan Olahraga Sepeda Compact,AZKO Indonesia,Rp 2.553.900,Rp 30.646.800,12.0,Rp 2.553.900,1,4.5
https://down-id.img.susercontent.com/file/https://cf.shopee.co.id/file/id-11134207-7rasa-m1dvag2j8tozc5_tn.webp,https://shopee.co.id/sepeda-lipat-odyssey-ritz-7-speed-sni-dewasa-anak-i.430228575.26864059728,Sepeda Lipat Odyssey Ritz 7 Speed SNI Dewasa Anak,Newcahaya-bike,Rp 1.175.000,Rp 270.250.000,230.0,Rp 17.625.000,15,4.62
https://down-id.img.susercontent.com/file/https://cf.shopee.co.id/file/id-11134207-7r98o-lkrzog32azuca3_tn.webp,https://shopee.co.id/sepeda-lipat-odessy-55-20-hellio-frame-alloy-8-9-16-dan-18-speed-garansi-original-i.34416008.13052355519,"Sepeda Lipat Odessy 55 20 Hellio Frame Alloy - 8, 9, 16, dan 18 Speed - Garansi Original",Odessy Official Shop,Rp 2.085.000,Rp 14.595.000,7.0,Rp 2.085.000,1,5.0
https://down-id.img.susercontent.com/file/https://cf.shopee.co.id/file/id-11134207-7ra0u-md2la3rskahk73_tn.webp,https://shopee.co.id/sepeda-lipat-20-phoenix-star-7-speed-rem-cakram-i.143692325.28157085492,SEPEDA LIPAT 20 PHOENIX STAR 7 SPEED REM CAKRAM,SEPEDA REJEKI,Rp 998.999,Rp 734.264.265,735.0,Rp 26.972.973,27,4.79
https://down-id.img.susercontent.com/file/https://cf.shopee.co.id/file/id-11134207-7r98s-lzkaot8j76xnb6_tn.webp,https://shopee.co.id/sepeda-lipat-20-inch-evergreen-8-9-speed-cakram-i.31188778.26355067936,Sepeda Lipat 20 Inch Evergreen 8 9 Speed Cakram,Cung Bikes,Rp 2.200.000,Rp 154.000.000,70.0,Rp 2.200.000,1,4.62
https://down-id.img.susercontent.com/file/https://cf.shopee.co.id/file/id-11134207-7rasc-m3bmu4kaqweo51_tn.webp,https://shopee.co.id/rion-maximo-piegare-16-inch-folding-bike-789-speed-i.900827346.22122422979,Rion Maximo Piegare 16 Inch Folding Bike 7/8/9 Speed,MJ.BIKE Store,Rp 1.300.000,Rp 553.800.000,426.0,Rp 16.900.000,13,4.91
https://down-id.img.susercontent.com/file/https://cf.shopee.co.id/file/id-11134207-7qukz-lkdcr8v4wujdd2_tn.webp,https://shopee.co.id/sepeda-lipat-20-inch-7-speed-rem-v-dewasa-anak-i.430228575.17394275818,Sepeda Lipat 20 Inch 7 Speed Rem V Dewasa Anak,Newcahaya-bike,Rp 1.180.000,Rp 106.200.000,90.0,Rp 3.540.000,3,4.82
https://down-id.img.susercontent.com/file/https://cf.shopee.co.id/file/sg-11134201-7rbmc-ln2jeynrufjp21_tn.webp,https://shopee.co.id/odessy-ritz-2052-7-speed-disc-brake-folding-bike-i.84199141.20285443693,Odessy Ritz 2052 7 Speed Disc Brake Folding Bike,CUNG BIKES GS,Rp 700.000,Rp 44.100.000,63.0,Rp 9.100.000,13,4.71
https://down-id.img.susercontent.com/file/https://cf.shopee.co.id/file/id-11134207-7rase-m3u5qsneo7wve4_tn.webp,https://shopee.co.id/ebuy-sepeda-lipat-anak-rem-cakram-6-kecepatan-i.797583684.22771817312,EBUY Sepeda Lipat Anak Rem Cakram 6 Kecepatan,Ebuy Outdoor Gear,Rp 1.138.500,Rp 1.138.500.000,1.0,Rp 61.479.000,54,4.8
